house_id,tittle,city,price_act,price_first,details_1_desc,details_2_desc,details_3_desc,advertiser
95258215,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"244,425","244,425","['82 m² built, 81 m² floor area', '2 bedrooms', '2 bathrooms', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 2021', 'Access adapted for persons with reduced mobility', 'Home suitable for persons with reduced mobility', 'Ground floor exterior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
94566815,Flat / apartment for sale in La Caleta - La Viña,Cadiz,"450,000","450,000","['155 m² built, 150 m² floor area', '5 bedrooms', '3 bathrooms', 'Terrace', 'Parking space included in the price', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 1968', 'No heating', 'Access adapted for persons with reduced mobility', '4th floor exterior', 'with lift']","['Air conditioning', 'no indicado']",[],Professional advertiser
93494871,Flat / apartment for sale in Playa Victoria,Cadiz,"245,000","245,000","['86 m² built', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 1969', 'No heating', '3rd floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
92087510,Flat / apartment for sale in Playa Victoria,Cadiz,"490,000","490,000","['97 m² built', '3 bedrooms', '2 bathrooms', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', 'No heating', '1st floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
91575256,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"299,000","299,000","['135 m² built, 130 m² floor area', '4 bedrooms', '2 bathrooms', 'Terrace', 'Balcony', 'Parking space included in the price', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', '2nd floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
91400303,Penthouse for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"800,000","800,000","['280 m² built, 275 m² floor area', '6 bedrooms', '4 bathrooms', 'Terrace', 'Balcony', 'Parking space included in the price', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', '3rd floor exterior', 'with lift']","['Air conditioning', 'Swimming pool', 'en trámite']",[],Professional advertiser
91339247,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"310,000","310,000","['126 m² built', '4 bedrooms', '2 bathrooms', 'Second hand/good condition', 'Fitted wardrobes', 'No heating', '2nd floor', 'with lift']",['en trámite'],[],Professional advertiser
91171468,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"600,000","600,000","['222 m² built, 220 m² floor area', '6 bedrooms', '3 bathrooms', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', '2nd floor exterior', 'with lift']","['Green areas', 'en trámite']",[],Professional advertiser
90297494,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"760,000","760,000","['250 m² built, 240 m² floor area', '3 bedrooms', '2 bathrooms', 'Terrace', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Individual heating: Propane/butane gas', '1st floor exterior', 'no lift']","['Green areas', 'en trámite']",[],Professional advertiser
84544887,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"610,000","610,000","['340 m² built, 320 m² floor area', '9 or more bedrooms', '2 bathrooms', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', 'Built in 1856', '2nd floor exterior', 'no lift']",['en trámite'],[],Professional advertiser
96457913,Flat / apartment for sale in Zona San José - Varela,Cadiz,"250,000","250,000","['96 m² built, 86 m² floor area', '3 bedrooms', '1 bathroom', 'Terrace', 'Second hand/good condition', 'Built in 1976', 'No heating', 'Access adapted for persons with reduced mobility', '1st floor', 'with lift']",['Consumo:'],[],Professional advertiser
96457730,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"399,000","399,000","['143 m² built, 135 m² floor area', '4 bedrooms', '2 bathrooms', 'Balcony', 'Second hand/good condition', 'Built in 1888', 'No heating', '2nd floor exterior', 'no lift']",['no indicado'],[],Professional advertiser
96383950,Flat / apartment for sale in virgen del perpetuo socorro,"Playa Stª Mª del Mar, Cadiz","230,000","230,000","['100 m² built', '3 bedrooms', '2 bathrooms', 'Second hand/good condition', '4th floor exterior', 'with lift']",['en trámite'],[],Professional advertiser
95560469,Flat / apartment for sale in calle Cristóbal Colón,"Centro Histórico - Plaza España, Cadiz","243,000","243,000","['70 m² built, 62 m² floor area', '2 bedrooms', '1 bathroom', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 2020', 'Central heating', 'Access adapted for persons with reduced mobility', 'Ground floor exterior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
95355256,Flat / apartment for sale in Sagasta,"La Caleta - La Viña, Cadiz","130,000","130,000","['65 m² built, 62 m² floor area', '2 bedrooms', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', 'Ground floor interior', 'no lift']",['en trámite'],[],Professional advertiser
94894087,Flat / apartment for sale in calle Bendición de Dios,"Mentidero - Teatro Falla - Alameda, Cadiz","195,000","195,000","['95 m² built, 90 m² floor area', '3 bedrooms', '1 bathroom', 'Second hand/good condition', 'Fitted wardrobes', 'Orientation South', '2nd floor exterior', 'no lift']","['Air conditioning', 'en trámite']",[],Professional advertiser
